machine,utc-timestamp,app,peep_ms,peep_size,nopeep_ms,nopeep_size
MacBook-Pro-3,2026-06-16T09:17:45Z,adaint,29,26624,27,30976
MacBook-Pro-3,2026-06-16T09:17:45Z,bint,27,17792,29,21248
MacBook-Pro-3,2026-06-16T09:17:45Z,cint,29,30592,28,37504
MacBook-Pro-3,2026-06-16T09:17:45Z,cobint,28,20224,28,24192
MacBook-Pro-3,2026-06-16T09:17:45Z,cpmenumd,27,5120,28,5504
MacBook-Pro-3,2026-06-16T09:17:45Z,e,27,2560,28,2560
MacBook-Pro-3,2026-06-16T09:17:45Z,EU,28,2560,28,2560
MacBook-Pro-3,2026-06-16T09:17:45Z,fact,27,2304,28,2304
MacBook-Pro-3,2026-06-16T09:17:45Z,fileops,28,7680,29,7936
MacBook-Pro-3,2026-06-16T09:17:45Z,fint,29,27776,29,32384
MacBook-Pro-3,2026-06-16T09:17:45Z,forint,30,27776,28,33408
MacBook-Pro-3,2026-06-16T09:17:45Z,mm,28,6784,27,6912
MacBook-Pro-3,2026-06-16T09:17:45Z,na,28,17664,28,21504
MacBook-Pro-3,2026-06-16T09:17:45Z,nqueens,27,2816,27,3072
MacBook-Pro-3,2026-06-16T09:17:45Z,pihex,28,14464,27,14976
MacBook-Pro-3,2026-06-16T09:17:45Z,pint,28,26752,27,31104
MacBook-Pro-3,2026-06-16T09:17:45Z,primes,28,4224,26,4480
MacBook-Pro-3,2026-06-16T09:17:45Z,sieve,30,2176,27,2304
MacBook-Pro-3,2026-06-16T09:17:45Z,SIEVEU,26,2176,27,2304
MacBook-Pro-3,2026-06-16T09:17:45Z,spsmash,28,2816,28,2944
MacBook-Pro-3,2026-06-16T09:17:45Z,t2darr,28,3968,27,4096
MacBook-Pro-3,2026-06-16T09:17:45Z,tallocx,34,10880,28,12800
MacBook-Pro-3,2026-06-16T09:17:45Z,tap,27,6784,27,6784
MacBook-Pro-3,2026-06-16T09:17:45Z,targs,28,2048,27,2048
MacBook-Pro-3,2026-06-16T09:17:45Z,tarray,28,6528,27,7168
MacBook-Pro-3,2026-06-16T09:17:45Z,tbdos,27,2432,27,2432
MacBook-Pro-3,2026-06-16T09:17:45Z,tbitfld,28,4352,26,4480
MacBook-Pro-3,2026-06-16T09:17:45Z,tbits,28,5120,27,5120
MacBook-Pro-3,2026-06-16T09:17:45Z,tbsearch,28,4480,27,5120
MacBook-Pro-3,2026-06-16T09:17:45Z,tbug,28,3072,28,3328
MacBook-Pro-3,2026-06-16T09:17:45Z,tbug2,28,2304,27,2432
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89bit,28,3456,27,3456
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89comp,27,5248,27,5376
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89core,29,2048,28,2048
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89decl,27,2688,27,2816
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fadd,27,3968,27,4224
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fcmp,27,6144,27,6144
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fcnv,27,2816,27,3200
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fdiv,27,4352,27,4608
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89ffio,27,4736,27,4736
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fini,27,6400,27,6528
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89flng,27,5888,27,6144
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89flt,29,2176,27,2176
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89flta,28,3072,27,3200
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fltc,27,2688,27,2688
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fmat,27,6400,26,6656
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fmul,27,4864,27,5120
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fnty,28,2560,27,2560
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fp,27,2560,27,2560
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fptr,27,2560,28,2816
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89fs,28,2944,26,3072
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89ini2,28,3968,26,5376
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89init,27,3072,27,3200
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89pp,30,2176,27,2176
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89ptr,27,3584,28,4096
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89qual,28,2560,27,2560
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89size,27,2944,27,2944
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89swjt,29,3968,28,4096
MacBook-Pro-3,2026-06-16T09:17:45Z,tc89uac,28,2816,27,2816
MacBook-Pro-3,2026-06-16T09:17:45Z,tc99scpe,26,3968,27,4224
MacBook-Pro-3,2026-06-16T09:17:45Z,tchess,28,17152,27,23168
MacBook-Pro-3,2026-06-16T09:17:45Z,tcmp,28,9088,26,9344
MacBook-Pro-3,2026-06-16T09:17:45Z,tcmt99,28,2688,27,2816
MacBook-Pro-3,2026-06-16T09:17:45Z,tcnstfld,27,2688,28,2816
MacBook-Pro-3,2026-06-16T09:17:45Z,tcrcfix,28,7168,27,8064
MacBook-Pro-3,2026-06-16T09:17:45Z,tctxflt,28,17536,27,18304
MacBook-Pro-3,2026-06-16T09:17:45Z,tctxops,28,10880,28,11264
MacBook-Pro-3,2026-06-16T09:17:45Z,tctype,28,4096,27,4480
MacBook-Pro-3,2026-06-16T09:17:45Z,tdecinit,28,2560,27,2560
MacBook-Pro-3,2026-06-16T09:17:45Z,tdecl,27,3200,27,3328
MacBook-Pro-3,2026-06-16T09:17:45Z,tdirent,28,2944,31,3072
MacBook-Pro-3,2026-06-16T09:17:45Z,tdowhile,28,2560,27,2688
MacBook-Pro-3,2026-06-16T09:17:45Z,tenum,28,2560,28,2944
MacBook-Pro-3,2026-06-16T09:17:45Z,terrno,27,5888,28,6016
MacBook-Pro-3,2026-06-16T09:17:45Z,tesc,29,8960,28,9088
MacBook-Pro-3,2026-06-16T09:17:45Z,tfarrsub,29,4480,28,4736
MacBook-Pro-3,2026-06-16T09:17:45Z,tfio,30,4608,27,4736
MacBook-Pro-3,2026-06-16T09:17:45Z,tfo,27,4608,28,4736
MacBook-Pro-3,2026-06-16T09:17:45Z,tforblk,28,5120,27,5376
MacBook-Pro-3,2026-06-16T09:17:45Z,tforsco,29,5120,27,5376
MacBook-Pro-3,2026-06-16T09:17:45Z,tgoto,33,3072,28,3328
MacBook-Pro-3,2026-06-16T09:17:45Z,tifcom,27,1920,28,1920
MacBook-Pro-3,2026-06-16T09:17:45Z,tinitreg,27,3968,28,4096
MacBook-Pro-3,2026-06-16T09:17:45Z,tioerr,28,5760,27,6016
MacBook-Pro-3,2026-06-16T09:17:45Z,tkandr,27,2688,27,2816
MacBook-Pro-3,2026-06-16T09:17:45Z,tkbd,0,2048,0,2176
MacBook-Pro-3,2026-06-16T09:17:45Z,tlcont,29,2688,28,2688
MacBook-Pro-3,2026-06-16T09:17:45Z,tlimits,29,2304,28,2432
MacBook-Pro-3,2026-06-16T09:17:45Z,tlog,29,8448,27,8576
MacBook-Pro-3,2026-06-16T09:17:45Z,tlong,28,7040,27,7424
MacBook-Pro-3,2026-06-16T09:17:45Z,tlongaud,28,4864,28,5248
MacBook-Pro-3,2026-06-16T09:17:45Z,tlongidx,28,3072,28,3328
MacBook-Pro-3,2026-06-16T09:17:45Z,tlongopt,28,15104,27,15616
MacBook-Pro-3,2026-06-16T09:17:45Z,tlongreg,28,8448,28,8704
MacBook-Pro-3,2026-06-16T09:17:45Z,tlongsub,28,6016,28,6144
